法人番号,法人名,所在地,郵便番号,資本金,従業員数,業種,設立年月日,代表者名,URL,電話番号
1010001000001,株式会社まごころ工務店,東京都世田谷区北沢2-1-1,155-0031,8000000,14,建設業,1998-04-01,山田太郎,https://example-magokoro.co.jp,03-1000-0001
1010001000002,佐藤建設株式会社,東京都大田区蒲田3-2-2,144-0052,10000000,18,建設業,1985-06-15,佐藤一郎,https://example-satokensetsu.co.jp,03-1000-0002
1010001000003,株式会社スズキ住宅,神奈川県横浜市港北区新横浜1-3-3,222-0033,5000000,12,建築工事業,2003-09-10,鈴木健,https://example-suzukijutaku.co.jp,045-1000-0003
1010001000004,株式会社みらい不動産,東京都新宿区西新宿4-4-4,160-0023,9000000,16,不動産取引業,2010-01-20,高橋誠,https://example-mirai-fudosan.co.jp,03-1000-0004
1010001000005,湘南エステート株式会社,神奈川県藤沢市藤沢5-5-5,251-0052,7000000,11,不動産賃貸業,2007-03-03,田中浩,https://example-shonan-estate.co.jp,0466-100-0005
1010001000006,株式会社大都建設,東京都足立区千住6-6-6,120-0034,50000000,120,総合建設業,1970-11-01,渡辺剛,https://example-daito.co.jp,03-1000-0006
1010001000007,カワサキリフォーム株式会社,神奈川県川崎市中原区小杉7-7-7,211-0063,3000000,9,リフォーム工事業,2015-05-05,伊藤誠,https://example-kawasaki-reform.co.jp,044-100-0007
1010001000008,株式会社練馬ホーム,東京都練馬区豊玉北8-8-8,176-0012,6000000,15,建設業,2001-08-08,中村和夫,https://example-nerima-home.co.jp,03-1000-0008
1010001000009,株式会社ベイエリア地所,神奈川県横浜市中区山下町9-9-9,231-0023,10000000,20,不動産取引業,1995-12-01,小林正,https://example-bayarea.co.jp,045-1000-0009
1010001000010,あおぞら住宅販売株式会社,東京都杉並区高円寺南10-10-10,166-0003,4000000,10,不動産取引業,2012-02-14,加藤修,https://example-aozora.co.jp,03-1000-0010
1010001000011,株式会社関東土木,東京都江戸川区中央11-11-11,132-0021,200000000,450,土木工事業,1962-04-01,山本強,https://example-kanto-doboku.co.jp,03-1000-0011
1010001000012,株式会社ハマノ工務店,神奈川県相模原市中央区中央12-12-12,252-0239,7500000,13,建設業,1999-07-07,浜野健一,https://example-hamano.co.jp,042-100-0012
